file,page_num,Clear,Trash,Noisy,Empty,Non-text,total_word_count,total_char_count,avg_word_count,avg_char_count,avg_garbage_density,avg_lang_score,avg_perplex,avg_symbol,avg_upper,avg_repeated,avg_ldl_fuses,avg_gibberish,avg_word_weird,avg_quality_score,main_lang
CTX197400250,1,30,7,1,0,6,198,1287,5.2105,33.8684,0.0329,0.9066,1736.6813,0.2105,0.0,0.0,0.0,0.0,0.0,0.7464,ces_Latn
CTX197400972,4,27,0,3,0,2,274,1774,9.1333,59.1333,0.0066,0.9977,379.6577,0.1333,0.0,0.0,0.0,0.1667,0.005,0.8173,ces_Latn
CTX197401663,86,8,0,1,0,0,25,219,2.7778,24.3333,0.0385,0.8589,1062.6367,0.0,0.0,0.0,0.0,0.0,0.0,0.8422,deu_Latn
CTX197401753,2,9,0,3,0,0,42,331,3.5,27.5833,0.0423,0.9119,1110.875,0.0833,0.0,0.0,0.0,0.0,0.0,0.8175,deu_Latn
CTX197402831,252,41,1,8,0,4,408,2674,8.16,53.48,0.0082,0.9435,2282.4992,0.26,0.2,0.0,0.0,0.04,0.0094,0.837,deu_Latn
CTX197403815,98,0,2,1,0,1,11,45,3.6667,15.0,0.075,0.4389,3555.9433,0.6667,0.3333,0.0,0.0,0.3333,0.0767,0.5572,deu_Latn
CTX197406473F,5,2,0,1,0,0,19,119,6.3333,39.6667,0.0281,0.9349,746.5433,0.3333,0.0,0.0,0.0,0.3333,0.0167,0.7234,ces_Latn
CTX197408651,4,59,5,5,0,67,237,1543,3.4348,22.3623,0.0191,0.9101,3017.3735,0.029,0.0,0.0,0.0,0.0,0.0116,0.7566,ces_Latn
CTX197501182,3,14,0,0,0,0,110,778,7.8571,55.5714,0.0034,0.9983,492.9064,0.0,0.0,0.0,0.0,0.0,0.0,0.866,ces_Latn
CTX197503407,39,4,0,0,0,2,21,89,5.25,22.25,0.0369,0.9183,627.855,0.0,0.0,0.0,0.0,0.0,0.0,0.642,ces_Latn
CTX197504576A,35,0,0,0,0,1,0,0,,,,,,,,,,,,,unknown
CTX197507086,2,25,0,8,0,4,120,600,3.6364,18.1818,0.0209,0.8783,1819.4824,0.0606,0.0,0.0,0.0,0.0303,0.0054,0.7329,ces_Latn
CTX197508795,2,5,1,0,0,0,33,231,5.5,38.5,0.0239,0.8794,399.8383,0.0,0.0,0.0,0.0,0.1667,0.0,0.8053,ces_Latn
CTX197509472A,75,20,0,8,0,1,198,1345,7.0714,48.0357,0.02,0.9666,748.3507,0.0,0.0,0.0,0.0,0.2857,0.0,0.7837,ces_Latn
CTX197509488A,15,23,8,9,0,11,97,656,2.425,16.4,0.0071,0.6461,2374.1128,0.0,0.0,0.0,0.0,0.0,0.0,0.6256,vie_Latn
CTX197601160,10,10,2,1,0,3,37,236,2.8462,18.1538,0.0037,0.8795,1364.7492,0.0,0.0,0.0,0.0,0.1538,0.0,0.7342,ces_Latn
CTX197601954,47,16,1,10,0,2,171,1087,6.3333,40.2593,0.0355,0.8615,902.5659,0.0,0.0,0.0,0.0,0.3333,0.0,0.7565,ces_Latn
CTX197603100E,62,1,0,0,0,1,5,25,5.0,25.0,0.12,0.3737,1219.26,0.0,0.0,0.0,0.0,0.0,0.0,0.4962,slv_Latn
CTX197604749,2,9,0,2,0,0,83,566,7.5455,51.4545,0.0035,0.9875,800.8936,0.0909,0.0,0.0,0.0,0.0,0.0091,0.8243,ces_Latn
CTX197606875,7,25,0,3,0,1,199,1185,7.1071,42.3214,0.0063,0.9284,533.9636,0.1071,0.0357,0.0,0.0,0.1071,0.0048,0.74,ces_Latn
CTX197607458,1,18,4,5,0,2,162,916,6.0,33.9259,0.0152,0.8865,4382.2715,0.1111,0.0,0.0,0.0,0.1111,0.0031,0.7452,ces_Latn
CTX197701060,2,32,0,10,0,3,142,811,3.381,19.3095,0.0247,0.8955,2029.2107,0.0952,0.0,0.0,0.0,0.0238,0.0095,0.7082,ces_Latn
CTX197702807,16,33,0,1,0,4,292,1883,8.5882,55.3824,0.0048,0.972,1984.1891,0.0,0.0,0.0,0.0,0.0588,0.0,0.8261,ces_Latn
CTX197703317,26,19,1,2,0,6,167,973,7.5909,44.2273,0.0134,0.9919,831.9495,0.1818,0.0,0.0,0.0,0.0455,0.0075,0.769,ces_Latn
CTX197704798,1,21,0,6,0,2,92,547,3.4074,20.2593,0.0005,0.8675,1114.0711,0.0,0.0,0.0,0.0,0.0,0.0,0.7806,ces_Latn
CTX197800413,2,13,2,3,0,1,44,289,2.4444,16.0556,0.0759,0.8167,1931.7594,0.1111,0.0,0.0,0.0,0.0556,0.0296,0.7258,ces_Latn
